Metric,Value
timing__unannotated_net__count__corner:nom_ss_100C_1v60,489
timing__unannotated_net__count__corner:nom_tt_025C_1v80,489
timing__unannotated_net_filtered__count,0
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
